Strategy;nUAV;nPOIs;min;q1;median;q3;max;mean
KIMPOverNSN;2;20;360.79;4632.69;7871.44;10851.67;16091.38;7784.81099299
KIMPOverNSN;4;20;359.5;7116.655;17077.48;34835.335;69529.04;22544.8007008
KIMPOverNSN;8;20;354.99;7341.89;19301.27;42117.505;93374.03;27657.955533
KIMPOverNSN;16;20;352.05;7385.035;19853.39;45859.715;103495.55;30805.1362976
TSPbased;2;20;671.73;2434.015;4561.975;6628.055;8551.89;4543.66325803
TSPbased;4;20;695.04;2469.63;4451.7;6524.545;8456.32;4512.02217561
TSPbased;8;20;659.2;2542.43;4622.755;6627.075;8472.55;4583.14289939
TSPbased;16;20;753.0;2641.06;4651.46;6753.625;8598.94;4677.73209762
ZigZagOverNSN;2;20;360.64;3350.29;5948.105;8893.13;14463.18;6194.46937532
ZigZagOverNSN;4;20;360.35;2682.47;5344.94;7607.42;14166.09;5346.38990504
ZigZagOverNSN;8;20;352.08;2437.055;5136.5;7491.805;13873.46;5126.60333583
ZigZagOverNSN;16;20;327.4;2321.57;4580.79;6719.015;13088.96;4746.06619485
ZigZagOverNaive;2;20;1406.72;11309.76;20155.07;27985.51;45329.2;19916.7803655
ZigZagOverNaive;4;20;1323.82;9805.27;18597.88;24456.295;44598.31;17742.8995955
ZigZagOverNaive;8;20;1174.56;9424.99;17477.875;23659.165;43366.09;16899.3693615
ZigZagOverNaive;16;20;939.07;9814.08;17642.755;24300.91;43258.44;17343.3393398
